"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "Markdown", "Docker", "DotENV", "YAML", "Prisma", "MS SQL", "JavaScript", "comment", "blank", "total"
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/insights/delivery-order-insight.service.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 88
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/insights/funds-insight.service.ts", "TypeScript", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 133
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/insights/platform-ai-insights.controller.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 73
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/insights/prompts/admin-insight-system-prompt.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/insights/withdrawal-insight.service.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 92
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/llm/admin-insight-mock.client.ts", "TypeScript", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 139
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/llm/admin-insight.types.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/llm/ai-llm-stream.service.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 103
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/llm/ai-llm.service.ts", "TypeScript", 573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 626
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/llm/anthropic-llm.client.ts", "TypeScript", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 175
